"Date";"ProductName";"StockEOD";"DeliveryFromProduction";"Rejection";"StartupLoss";"Obsoletes";"InBackorder"
"2018-10-12";"Fressie Orange/C-power PET";62211;0;0;0;0;0
"2018-10-12";"Fressie Orange PET";829053;0;0;0;0;0
"2018-10-12";"Fressie Orange/Mango PET";102172;0;0;0;0;0
"2018-10-12";"Fressie Orange/Mango+C 1L";146101;0;0;0;0;0
"2018-10-15";"Fressie Orange 1 liter";915230;0;0;0;0;0
"2018-10-15";"Fressie Orange/Mango 1 liter";0;0;0;0;0;9372
"2018-10-15";"Fressie Orange/C-power PET";62211;0;0;0;0;0
"2018-10-15";"Fressie Orange PET";764153;0;0;0;4419;0
"2018-10-15";"Fressie Orange/Mango PET";90652;0;0;0;0;0
"2018-10-15";"Fressie Orange/Mango+C 1L";140101;0;0;0;0;0
"2018-10-16";"Fressie Orange 1 liter";872030;0;0;0;0;0
"2018-10-16";"Fressie Orange/Mango 1 liter";0;0;0;0;0;10572
"2018-10-16";"Fressie Orange/C-power PET";50691;0;0;0;0;0
"2018-10-16";"Fressie Orange PET";729593;0;0;0;0;0
"2018-10-16";"Fressie Orange/Mango PET";90652;0;0;0;0;0
"2018-10-16";"Fressie Orange/Mango+C 1L";133501;0;0;0;0;0
"2018-10-17";"Fressie Orange 1 liter";833030;0;0;0;0;0
"2018-10-17";"Fressie Orange/Mango 1 liter";0;0;0;0;0;10572
"2018-10-17";"Fressie Orange/C-power PET";50691;0;0;0;0;0
"2018-10-17";"Fressie Orange PET";715193;0;0;0;0;0
"2018-10-17";"Fressie Orange/Mango PET";90652;0;0;0;0;0
"2018-10-17";"Fressie Orange/Mango+C 1L";117006;0;0;0;16495;0
"2018-10-18";"Fressie Orange 1 liter";788630;0;0;0;0;0
"2018-10-18";"Fressie Orange/Mango 1 liter";0;0;0;0;0;10572
"2018-10-18";"Fressie Orange/C-power PET";50691;0;0;0;0;0
"2018-10-18";"Fressie Orange PET";715193;0;0;0;0;0
"2018-10-18";"Fressie Orange/Mango PET";90652;0;0;0;0;0
"2018-10-18";"Fressie Orange/Mango+C 1L";190517;73791;0;280;0;0
"2018-10-19";"Fressie 0range 1 liter";788630;0;0;0;0;0
"2018-10-19";"Fressie 0range/Mango 1 liter";0;0;0;0;0;10572
"2018-10-19";"Fressie 0range/C-power PET";50691;0;0;0;0;0
"2018-10-19";"Fressie 0range PET";692153;0;0;0;0;0
"2018-10-19";"Fressie 0range/Mango PET";73372;0;0;0;0;0
"2018-10-19";"Fressie 0range/Mango+C 1L";183317;0;0;0;0;0
"2018-10-22";"Fressie Orange 1 liter";788630;0;0;0;0;0
"2018-10-22";"Fressie Orange/Mango 1 liter";0;0;0;0;0;10572
"2018-10-22";"Fressie Orange/C-power PET";50691;0;0;0;0;0
"2018-10-22";"Fressie Orange PET";692153;0;0;0;0;0
"2018-10-22";"Fressie Orange/Mango PET";64732;0;0;0;0;0
"2018-10-22";"Fressie Orange/Mango+C 1L";170717;0;0;0;0;0
"2018-10-23";"Fressie Orange 1 liter";734030;0;0;0;0;0
"2018-10-23";"Fressie Orange/Mango 1 liter";0;0;0;0;0;14172
"2018-10-23";"Fressie Orange/C-power PET";50691;0;0;0;0;0
"2018-10-23";"Fressie Orange PET";1138455;530755;0;933;0;0
"2018-10-23";"Fressie Orange/Mango PET";64732;0;0;0;0;0
"2018-10-23";"Fressie Orange/Mango+C 1L";170717;0;0;0;0;0
"2018-10-24";"Fressie Orange 1 liter";734030;0;0;0;0;0
"2018-10-24";"Fressie Orange/Mango 1 liter";0;0;0;0;0;14172
"2018-10-24";"Fressie Orange/C-power PET";44931;0;0;0;0;0
"2018-10-24";"Fressie Orange PET";923132;0;0;0;215323;0
"2018-10-24";"Fressie Orange/Mango PET";64732;0;0;0;0;0
"2018-10-24";"Fressie Orange/Mango+C 1L";170717;0;0;0;0;0
"2018-10-25";"Fressie Orange 1 liter";693830;0;0;0;0;0
"2018-10-25";"Fressie Orange/Mango 1 liter";0;0;0;0;0;14172
"2018-10-25";"Fressie Orange/C-power PET";42051;0;0;0;0;0
"2018-10-25";"Fressie Orange PET";830972;0;0;0;0;0
"2018-10-25";"Fressie Orange/Mango PET";151210;87411;0;933;0;0
"2018-10-25";"Fressie Orange/Mango+C 1L";170717;0;0;0;0;0
"2018-10-26";"Fressie Orange 1 liter";693830;0;0;0;0;0
"2018-10-26";"Fressie Orange/Mango 1 liter";0;0;0;0;0;14172
"2018-10-26";"Fressie Orange/C-power PET";33394;0;0;0;8658;0
"2018-10-26";"Fressie Orange PET";807932;0;0;0;0;0
"2018-10-26";"Fressie Orange/Mango PET";151210;0;0;0;0;0
"2018-10-26";"Fressie Orange/Mango+C 1L";170717;0;0;0;0;0
"2018-10-29";"Fressie Orange 1 liter";693830;0;0;0;0;0
"2018-10-29";"Fressie Orange/Mango 1 liter";0;0;0;0;0;14172
"2018-10-29";"Fressie Orange/C-power PET";33394;0;0;0;0;0
"2018-10-29";"Fressie Orange PET";770492;0;0;0;0;0
"2018-10-29";"Fressie Orange/Mango PET";142570;0;0;0;0;0
"2018-10-29";"Fressie Orange/Mango+C 1L";164117;0;0;0;0;0
"2018-10-30";"Fressie Orange 1 liter";1045852;396102;0;280;0;0
"2018-10-30";"Fressie Orange/Mango 1 liter";0;0;0;0;0;14172
"2018-10-30";"Fressie Orange/C-power PET";33394;0;0;0;0;0
"2018-10-30";"Fressie Orange PET";727292;0;0;0;0;0
"2018-10-30";"Fressie Orange/Mango PET";131050;0;0;0;0;0
"2018-10-30";"Fressie Orange/Mango+C 1L";164117;0;0;0;0;0
"2018-10-31";"Fressie Orange 1 liter";993652;0;0;0;0;0
"2018-10-31";"Fressie Orange/Mango 1 liter";0;0;0;0;0;14172
"2018-10-31";"Fressie Orange/C-power P";33394;0;0;0;0;0
"2018-10-31";"Fressie Orange P";646652;0;0;0;0;0
